jogo_id,genero,plataforma,gratuito,preco,horas_jogo_mes,avaliacao,idade_jogador,num_avaliacoes
31,Esporte,PC,Não,27.18,3.7,52.8,14.0,11
32,Indie,PC,Sim,0.0,10.7,75.2,38.0,26
33,RPG,Console,Sim,0.0,42.2,78.5,32.0,89
34,RPG,Console,Sim,0.0,49.9,81.7,23.0,108
35,RPG,PC,Não,23.76,7.5,,23.0,14
36,Ação,Console,Não,9.09,16.5,69.0,28.0,44
37,Ação,Console,Não,33.69,20.7,58.1,17.0,67
38,RPG,Console,Sim,0.0,12.8,66.5,27.0,31
39,Ação,Mobile,Sim,0.0,35.8,78.8,16.0,88
40,Esporte,PC,Não,40.8,10.9,45.4,25.0,23
41,RPG,Mobile,Não,19.03,9.4,76.8,17.0,14
42,Indie,PC,Não,40.08,7.9,72.9,17.0,22
43,Esporte,PC,Não,10.61,12.7,55.4,37.0,27
44,RPG,PC,Não,13.77,0.7,45.3,25.0,6
45,Indie,Console,Não,29.96,13.2,65.0,26.0,36
46,Indie,PC,Não,6.72,17.2,52.5,11.0,35
47,RPG,PC,Não,23.99,18.0,78.1,21.0,57
48,Ação,Console,Não,13.3,6.3,54.6,28.0,13
49,Esporte,PC,Não,26.07,17.8,80.3,26.0,36
50,Ação,PC,Sim,0.0,17.5,58.1,10.0,44
51,Ação,PC,Não,31.64,17.8,64.7,26.0,43
52,Ação,PC,Sim,0.0,27.4,,28.0,66
53,Esporte,PC,Não,56.84,6.1,55.8,34.0,15
54,Esporte,PC,Não,24.63,12.9,65.2,20.0,28
55,Esporte,PC,Não,15.47,2.9,66.6,10.0,9
56,Esporte,Console,Não,21.15,25.7,65.4,18.0,46
57,RPG,Mobile,Não,10.95,7.0,47.8,17.0,23
58,Estratégia,Console,Sim,0.0,30.4,60.1,30.0,59
59,Ação,Console,Sim,0.0,31.1,78.9,10.0,60
60,Ação,Mobile,Sim,0.0,13.9,66.8,22.0,36
61,Esporte,Mobile,Não,16.89,13.4,72.6,35.0,37
62,RPG,Console,Não,20.89,4.2,55.1,25.0,13
63,Estratégia,Mobile,Sim,0.0,16.1,51.8,31.0,39
64,Esporte,Mobile,Não,27.86,27.3,50.2,14.0,71
65,Estratégia,Console,Não,30.85,19.4,92.5,14.0,46
66,Estratégia,Console,Não,23.76,38.7,83.0,35.0,87
67,Estratégia,PC,Não,47.08,11.8,63.3,26.0,27
68,RPG,PC,Sim,0.0,11.7,64.5,26.0,25
69,Ação,Console,Não,44.33,7.4,46.6,17.0,20
70,RPG,Console,Não,33.89,55.9,81.4,26.0,85
71,Ação,PC,Sim,0.0,4.2,73.2,17.0,13
72,RPG,Console,Não,20.31,26.0,76.5,33.0,65
73,Indie,Console,Não,105.21,27.7,64.7,44.0,54
74,Ação,Mobile,Não,15.03,26.9,60.1,28.0,55
75,Ação,PC,Não,29.33,8.0,55.2,21.0,28
76,Ação,PC,Não,15.64,13.9,60.5,10.0,33
77,Ação,Console,Não,71.62,23.4,87.5,13.0,49
78,Esporte,Mobile,Não,41.77,9.6,59.1,36.0,21
79,Estratégia,Mobile,Não,16.33,12.4,51.7,18.0,37
80,Esporte,Mobile,Sim,0.0,9.7,60.3,22.0,21
81,Esporte,Mobile,Sim,0.0,16.9,67.5,30.0,32
82,RPG,PC,Sim,0.0,16.1,53.1,35.0,35
83,Indie,PC,Não,38.66,43.3,84.6,24.0,84
84,Ação,PC,Não,30.99,23.8,80.2,22.0,56
85,Ação,Console,Não,27.92,5.2,59.4,26.0,18
86,Ação,Mobile,Não,23.92,5.6,51.2,21.0,18
87,Esporte,PC,Sim,0.0,26.3,66.0,21.0,56
88,RPG,Console,Não,28.15,15.9,49.6,28.0,43
89,Ação,PC,Não,25.42,53.8,86.1,26.0,113
90,Estratégia,PC,Não,16.7,53.7,90.0,40.0,119
91,Ação,PC,Não,67.78,7.4,51.4,28.0,17
92,Esporte,PC,Não,13.06,19.6,84.2,33.0,45
93,RPG,Mobile,Não,31.71,5.7,65.6,18.0,22
94,RPG,PC,Não,20.24,26.0,54.5,29.0,51
95,RPG,Mobile,Não,70.51,47.4,67.5,20.0,107
96,Estratégia,Console,Sim,0.0,17.7,56.8,28.0,38
97,RPG,PC,Sim,0.0,11.4,76.0,30.0,33
98,Ação,PC,Não,13.71,21.1,75.7,25.0,45
99,Ação,Mobile,Sim,0.0,29.7,87.4,42.0,68
100,Indie,PC,Sim,0.0,29.8,73.0,35.0,64
101,Indie,Mobile,Não,18.41,11.5,60.0,33.0,27
102,Esporte,PC,Sim,0.0,9.4,49.4,30.0,22
103,Ação,Console,Não,28.34,18.9,,37.0,40
104,Indie,Mobile,Não,18.17,12.2,60.6,15.0,41
105,Esporte,PC,Não,10.05,35.8,74.4,35.0,69
106,Esporte,PC,Não,47.06,12.0,76.8,18.0,30
107,RPG,Mobile,Não,11.19,16.8,63.9,21.0,39
108,Ação,PC,Não,39.57,20.7,,29.0,48
109,Ação,PC,Sim,0.0,4.3,43.3,34.0,14
110,Indie,PC,Não,64.13,10.1,85.3,17.0,33
111,RPG,PC,Não,38.46,52.3,83.0,21.0,113
112,Ação,Console,Sim,0.0,28.9,78.7,26.0,62
113,RPG,Console,Não,14.15,11.9,69.9,24.0,29
114,Estratégia,PC,Não,35.28,26.0,66.1,31.0,53
115,Ação,Mobile,Não,20.96,35.5,83.7,49.0,66
116,Indie,PC,Não,22.16,13.4,70.9,28.0,35
117,Esporte,PC,Sim,0.0,27.9,65.3,20.0,55
118,Esporte,Console,Não,15.65,25.3,63.9,16.0,58
119,RPG,Mobile,Sim,0.0,5.8,58.9,23.0,17
120,Estratégia,PC,Sim,0.0,13.5,62.1,18.0,29
121,Estratégia,PC,Sim,0.0,44.1,94.0,28.0,94
122,Estratégia,Console,Não,22.29,51.3,92.1,28.0,118
123,Ação,Mobile,Não,20.63,29.0,71.8,22.0,69
124,RPG,PC,Não,8.64,9.8,66.3,39.0,30
125,Ação,PC,Sim,0.0,1.5,37.5,20.0,11
126,RPG,Console,Sim,0.0,8.7,54.7,24.0,21
127,RPG,PC,Não,22.58,5.0,60.6,29.0,12
128,Ação,PC,Sim,0.0,46.2,92.8,31.0,97
129,Ação,PC,Não,45.77,2.8,58.5,34.0,9
130,Estratégia,PC,Não,12.03,5.9,71.7,28.0,17
131,Ação,Console,Não,21.29,18.6,74.0,32.0,43
132,Indie,Mobile,Não,27.47,15.9,60.1,20.0,53
133,Estratégia,Console,Sim,0.0,42.7,79.4,31.0,97
134,RPG,Console,Sim,0.0,24.2,73.2,31.0,56
135,Estratégia,Mobile,Não,42.32,14.2,59.5,36.0,42
136,Ação,PC,Não,29.2,36.3,90.6,,74
137,Indie,PC,Não,71.99,11.6,52.0,19.0,21
138,RPG,Mobile,Sim,0.0,45.0,84.8,31.0,108
139,Esporte,PC,Não,24.42,7.7,66.2,10.0,18
140,Ação,Console,Não,30.56,15.4,61.4,28.0,30
141,RPG,Console,Não,14.17,1.9,51.3,32.0,7
142,RPG,PC,Sim,0.0,30.1,72.4,21.0,77
143,Indie,Console,Não,12.63,17.8,73.0,22.0,39
144,Estratégia,PC,Sim,0.0,45.0,77.5,17.0,122
145,RPG,PC,Não,46.28,13.1,53.2,21.0,39
146,Ação,Console,Não,28.89,4.3,67.9,22.0,22
147,RPG,PC,Não,8.07,22.1,71.9,20.0,37
148,Estratégia,Console,Não,13.73,10.3,70.3,20.0,21
149,RPG,Mobile,Não,34.43,27.2,78.2,23.0,63
150,Ação,Mobile,Sim,0.0,7.9,79.4,23.0,16
151,Indie,PC,Sim,0.0,39.8,88.9,38.0,91
152,Indie,PC,Não,51.71,16.8,58.6,22.0,47
153,Ação,PC,Não,26.63,14.3,67.8,27.0,34
154,Estratégia,PC,Sim,0.0,38.1,72.8,21.0,86
155,Ação,Mobile,Sim,0.0,30.4,69.2,21.0,56
156,Esporte,PC,Não,16.34,8.8,47.6,13.0,29
157,Ação,PC,Sim,0.0,29.8,70.3,14.0,69
158,Esporte,Mobile,Sim,0.0,25.7,75.3,17.0,66
159,Esporte,PC,Não,71.42,14.9,63.3,26.0,40
160,Esporte,PC,Não,64.98,28.1,62.0,33.0,59
161,Ação,PC,Não,30.44,39.7,65.1,12.0,81
162,Indie,Console,Não,32.38,15.2,83.1,21.0,27
163,Ação,Console,Sim,0.0,15.3,67.1,15.0,38
164,Ação,PC,Não,11.54,14.7,56.4,23.0,28
165,Estratégia,Mobile,Não,36.11,8.5,64.3,33.0,21
166,RPG,Mobile,Não,15.79,15.1,83.8,,44
167,Indie,Mobile,Sim,0.0,13.9,68.9,25.0,36
168,Indie,PC,Sim,0.0,13.3,37.9,35.0,45
169,RPG,PC,Sim,0.0,13.1,86.7,28.0,29
170,Indie,Mobile,Não,26.33,5.9,41.9,20.0,10
171,Ação,PC,Não,3.88,32.4,72.6,26.0,63
172,Estratégia,Console,Não,27.31,10.0,50.8,19.0,25
173,Ação,Console,Não,36.06,41.2,73.1,28.0,82
174,Indie,PC,Não,32.06,7.1,61.8,29.0,22
175,Ação,Console,Não,23.07,47.5,64.9,,88
176,Ação,Mobile,Sim,0.0,12.1,61.4,26.0,22
177,RPG,Console,Não,29.57,30.0,83.3,24.0,53
178,Indie,PC,Não,31.9,17.7,58.0,29.0,32
179,Indie,Mobile,Sim,0.0,5.2,45.6,31.0,12
180,Esporte,Console,Não,30.49,5.4,57.0,28.0,12
181,Indie,Console,Não,14.31,9.4,57.6,23.0,31
182,Indie,Mobile,Sim,0.0,11.6,56.6,32.0,23
183,Estratégia,Console,Não,18.43,15.6,53.7,19.0,30
184,RPG,PC,Sim,0.0,20.6,72.0,16.0,54
185,Esporte,PC,Sim,0.0,14.1,,10.0,37
186,Esporte,PC,Sim,0.0,19.8,57.3,25.0,32
187,RPG,Console,Não,26.82,22.1,59.9,19.0,51
188,Ação,Console,Não,53.14,13.6,64.4,28.0,31
189,Esporte,Console,Sim,0.0,25.4,61.6,11.0,69
190,Ação,PC,Sim,0.0,29.4,74.2,20.0,57
191,Indie,Console,Sim,0.0,22.5,81.7,28.0,52
192,Ação,Mobile,Sim,0.0,23.5,68.6,18.0,38
193,Ação,PC,Não,8.81,18.5,55.2,28.0,55
194,Indie,Console,Não,18.63,34.4,79.2,21.0,66
195,Ação,Console,Não,40.82,15.9,62.9,25.0,35
196,Ação,Console,Não,62.03,9.5,59.3,29.0,26
197,Estratégia,PC,Não,28.33,16.2,69.0,32.0,40
198,Indie,Console,Sim,0.0,5.2,64.3,26.0,11
199,Ação,Mobile,Sim,0.0,4.7,58.1,19.0,17
200,RPG,Console,Não,41.31,29.5,72.2,22.0,68
201,Esporte,Mobile,Não,19.77,41.6,98.5,29.0,75
202,Indie,Mobile,Não,29.91,12.4,73.2,18.0,30
203,Estratégia,PC,Não,49.82,29.7,80.3,24.0,73
204,Ação,Console,Não,76.27,2.4,57.6,22.0,8
205,Ação,Console,Não,38.3,22.6,59.5,24.0,56
206,Ação,Mobile,Não,25.19,15.9,74.7,18.0,39
207,Ação,PC,Sim,0.0,46.2,84.0,12.0,97
208,Esporte,PC,Sim,0.0,14.3,58.4,29.0,29
209,Ação,Mobile,Sim,0.0,6.6,56.8,32.0,21
210,Estratégia,PC,Sim,0.0,4.0,48.7,12.0,16
211,Esporte,Console,Não,13.0,16.2,74.2,28.0,44
212,Estratégia,PC,Não,53.42,18.5,72.2,33.0,44
213,Ação,Mobile,Não,12.38,13.6,64.8,29.0,37
214,Indie,Mobile,Não,18.93,30.2,72.7,22.0,55
215,Esporte,PC,Sim,0.0,38.7,72.1,18.0,67
216,Esporte,Console,Não,81.01,12.3,43.2,26.0,32
217,Ação,PC,Não,19.04,3.0,44.1,27.0,11
218,Ação,Console,Sim,0.0,19.9,60.3,26.0,45
219,Indie,Console,Sim,0.0,34.8,67.8,24.0,75
220,RPG,Mobile,Não,66.38,12.3,65.0,17.0,34
221,RPG,PC,Sim,0.0,23.5,76.4,28.0,45
222,RPG,PC,Não,13.44,6.2,57.6,28.0,8
223,Esporte,Console,Não,126.31,19.5,79.4,26.0,41
224,Indie,Console,Não,34.97,23.8,,26.0,47
225,Ação,Console,Sim,0.0,19.9,65.7,37.0,54
226,Indie,PC,Não,23.92,54.2,87.1,21.0,106
227,Ação,PC,Não,25.55,41.3,89.6,34.0,76
228,Estratégia,Mobile,Sim,0.0,26.5,71.9,20.0,62
229,Estratégia,PC,Não,73.97,32.7,75.8,33.0,62
230,Ação,PC,Não,30.97,19.4,51.7,34.0,37
231,Ação,Mobile,Não,17.75,15.4,56.1,23.0,33
232,RPG,PC,Sim,0.0,11.3,71.6,37.0,20
233,Indie,Console,Não,16.14,6.1,40.0,28.0,15
234,Estratégia,PC,Sim,0.0,42.6,92.6,19.0,93
235,Indie,Mobile,Sim,0.0,55.6,92.9,22.0,97
236,Indie,Console,Sim,0.0,16.5,58.2,33.0,49
237,RPG,Mobile,Não,14.33,16.7,57.5,31.0,33
238,Esporte,PC,Sim,0.0,24.4,86.7,18.0,51
239,Ação,Console,Não,29.6,14.3,76.3,24.0,34
240,Ação,Console,Não,11.95,6.8,58.0,26.0,24
241,Indie,PC,Não,3.72,5.1,59.3,21.0,17
242,Esporte,PC,Não,13.11,54.3,81.8,42.0,126
243,Ação,PC,Não,18.48,3.4,58.3,27.0,13
244,Estratégia,Mobile,Sim,0.0,20.4,61.2,25.0,55
245,Estratégia,Console,Sim,0.0,3.9,56.6,33.0,10
246,Indie,Console,Não,16.98,14.9,80.2,22.0,36
247,Estratégia,Console,Não,41.62,12.2,61.5,32.0,23
248,RPG,Console,Não,24.25,4.6,48.3,13.0,11
249,RPG,Console,Não,23.92,25.0,57.7,22.0,49
250,RPG,PC,Não,14.86,6.4,60.0,32.0,16
251,Esporte,Console,Não,23.68,4.0,,36.0,18
252,Indie,PC,Não,15.5,27.0,73.4,20.0,55
253,RPG,Mobile,Sim,0.0,12.3,47.8,19.0,43
254,Ação,Mobile,Não,21.29,8.7,66.4,29.0,21
255,Ação,PC,Sim,0.0,28.1,62.3,21.0,40
256,Esporte,Console,Não,44.48,6.1,59.1,23.0,17
257,Indie,PC,Sim,0.0,3.0,53.8,31.0,8
258,Ação,Mobile,Não,18.75,37.0,92.7,21.0,70
259,Ação,Mobile,Não,26.77,49.4,86.2,11.0,94
260,Estratégia,Mobile,Sim,0.0,14.6,81.3,16.0,34
261,Ação,PC,Sim,0.0,14.4,68.7,25.0,22
262,Indie,PC,Não,25.59,29.2,85.3,12.0,86
263,RPG,PC,Sim,0.0,34.6,73.9,23.0,72
264,Ação,PC,Não,13.92,6.8,62.2,15.0,13
265,Indie,PC,Não,9.27,12.8,73.6,36.0,24
266,Ação,PC,Sim,0.0,19.3,74.7,40.0,55
267,Ação,Mobile,Sim,0.0,28.1,76.6,18.0,50
268,Ação,PC,Não,16.17,26.1,67.7,27.0,56
269,Ação,PC,Não,111.32,23.2,67.5,18.0,47
270,Ação,Mobile,Sim,0.0,34.5,85.9,23.0,89
271,Ação,Console,Não,53.66,15.4,76.4,38.0,42
272,Ação,Console,Não,39.53,42.8,75.3,22.0,100
273,Ação,Console,Não,74.57,10.3,,23.0,25
274,Estratégia,Mobile,Não,15.3,26.4,62.7,18.0,77
275,Esporte,Console,Não,5.28,11.6,69.4,33.0,25
276,RPG,Console,Não,18.77,14.7,55.5,10.0,30
277,RPG,Console,Não,34.29,16.5,72.3,22.0,32
278,Estratégia,PC,Não,26.87,11.0,66.5,25.0,27
279,Indie,PC,Não,28.94,35.5,71.4,20.0,69
280,Indie,Console,Sim,0.0,12.0,76.3,31.0,32
281,Ação,PC,Não,30.85,15.9,51.4,33.0,33
282,Ação,Console,Sim,0.0,24.3,84.5,15.0,53
283,Ação,PC,Sim,0.0,69.8,99.7,40.0,142
284,Ação,PC,Sim,0.0,24.9,51.3,15.0,59
285,Estratégia,PC,Sim,0.0,17.0,79.5,34.0,43
286,RPG,Mobile,Não,26.06,2.5,65.2,26.0,11
287,Ação,PC,Não,16.88,14.5,59.8,21.0,28
288,RPG,Console,Não,16.9,9.5,52.0,22.0,23
289,Estratégia,Mobile,Sim,0.0,12.6,48.4,25.0,28
290,Ação,PC,Não,16.03,11.4,83.6,26.0,22
291,Indie,Console,Não,11.36,24.1,61.1,19.0,54
292,Ação,PC,Não,9.97,14.2,52.1,23.0,38
293,Indie,PC,Não,21.82,7.7,62.0,20.0,20
294,Ação,Console,Não,17.19,30.1,58.3,16.0,82
295,Indie,Mobile,Não,47.67,5.5,49.5,,10
296,Indie,PC,Não,29.25,16.4,73.8,17.0,29
297,Indie,Console,Não,28.77,14.5,67.9,,37
298,Indie,PC,Não,15.71,20.9,64.1,28.0,39
299,Esporte,Console,Não,22.81,34.7,76.0,26.0,87
300,Estratégia,Console,Sim,0.0,76.7,97.0,39.0,173
301,Esporte,Console,Não,37.7,17.0,64.6,10.0,40
302,Ação,Console,Não,23.19,9.4,53.8,28.0,20
303,Estratégia,PC,Sim,0.0,8.7,55.0,25.0,28
304,Estratégia,Console,Não,24.65,8.6,54.7,31.0,19
305,Indie,Console,Não,39.48,20.3,,30.0,31
306,RPG,Console,Sim,0.0,1.9,65.5,24.0,8
307,RPG,PC,Sim,0.0,5.2,65.1,26.0,18
308,Estratégia,PC,Sim,0.0,20.3,58.8,20.0,40
309,Ação,PC,Não,37.91,31.1,62.9,29.0,80
310,Ação,PC,Sim,0.0,31.2,72.3,12.0,67
311,RPG,PC,Não,31.6,17.6,85.0,30.0,43
312,RPG,PC,Não,19.9,28.4,62.8,25.0,72
313,Ação,Console,Não,15.12,35.1,74.6,22.0,73
314,RPG,PC,Não,34.16,11.9,62.9,23.0,34
315,RPG,Mobile,Sim,0.0,32.8,73.7,24.0,68
316,RPG,Console,Sim,0.0,3.7,53.1,34.0,3
317,RPG,Console,Não,47.73,5.1,68.5,48.0,7
318,Esporte,Console,Sim,0.0,12.4,66.5,34.0,32
319,Ação,Console,Sim,0.0,3.2,64.5,21.0,7
320,Indie,Console,Não,65.49,24.4,74.9,29.0,49
321,Indie,Mobile,Sim,0.0,10.5,69.3,30.0,22
322,RPG,Console,Não,19.79,14.6,78.0,19.0,25
323,RPG,Console,Não,29.15,15.1,76.0,16.0,39
324,Estratégia,Console,Não,26.92,12.2,83.2,,30
325,Indie,Console,Não,4.72,8.6,71.1,31.0,22
326,Esporte,PC,Não,14.24,23.5,63.1,14.0,51
327,Indie,Console,Não,23.8,10.3,68.8,20.0,33
328,Estratégia,Console,Não,19.81,14.9,70.3,29.0,35
329,Estratégia,Mobile,Não,28.45,21.0,84.9,25.0,56
330,Ação,Console,Sim,0.0,35.0,67.3,35.0,77
331,Esporte,Console,Não,20.23,33.1,79.9,15.0,65
332,Ação,Mobile,Sim,0.0,11.1,55.5,41.0,23
333,Esporte,Console,Sim,0.0,8.2,64.5,14.0,20
334,Indie,PC,Sim,0.0,39.8,76.9,11.0,96
335,Ação,PC,Não,22.34,10.3,65.5,25.0,33
336,Estratégia,PC,Não,20.59,22.9,56.0,17.0,38
337,Ação,PC,Não,94.17,3.0,63.9,25.0,14
338,Esporte,PC,Não,6.4,1.8,57.9,24.0,4
339,Ação,Console,Sim,0.0,17.0,66.6,24.0,34
340,Indie,Console,Não,24.48,13.4,80.6,19.0,25
341,Ação,PC,Não,15.35,27.1,67.8,28.0,42
342,Indie,Console,Não,42.09,8.7,63.3,23.0,28
343,Indie,PC,Sim,0.0,19.9,67.8,33.0,49
344,Estratégia,Mobile,Sim,0.0,26.1,72.4,,54
345,Esporte,PC,Não,20.86,9.0,80.4,18.0,25
346,Esporte,Console,Não,22.94,12.4,63.0,13.0,37
347,Indie,PC,Não,23.04,6.1,53.6,24.0,11
348,Ação,Console,Não,23.41,27.8,88.5,16.0,59
349,Estratégia,PC,Não,21.92,23.8,66.5,16.0,55
350,Ação,Console,Não,28.54,25.0,55.6,29.0,56
351,Estratégia,PC,Sim,0.0,13.4,56.4,13.0,26
352,Ação,Mobile,Sim,0.0,23.5,57.9,35.0,50
353,Estratégia,Console,Sim,0.0,14.3,47.4,26.0,38
354,Estratégia,Console,Não,8.59,44.3,78.3,25.0,96
355,RPG,Mobile,Não,41.26,16.0,64.0,18.0,46
356,Estratégia,Mobile,Não,28.51,31.8,84.7,30.0,53
357,Esporte,PC,Não,33.22,13.4,68.7,25.0,27
358,Esporte,PC,Não,10.41,38.3,83.2,20.0,83
359,RPG,PC,Não,71.59,8.2,51.9,26.0,25
360,Estratégia,PC,Não,17.03,21.7,76.0,13.0,46
361,Indie,Console,Não,27.14,9.6,73.3,14.0,20
362,Ação,Mobile,Não,40.96,19.3,70.1,17.0,37
363,Ação,Mobile,Não,13.57,10.3,65.0,27.0,28
364,Ação,Console,Não,17.68,15.9,53.2,25.0,32
365,Esporte,Console,Não,27.32,11.6,71.4,32.0,28
366,RPG,Mobile,Não,136.25,25.5,86.3,19.0,44
367,Esporte,Mobile,Não,29.39,22.4,71.3,29.0,40
368,Esporte,PC,Não,64.32,9.3,55.2,24.0,16
369,RPG,Console,Sim,0.0,9.1,59.0,18.0,22
370,Indie,Mobile,Não,30.59,7.6,55.8,,20
371,Esporte,PC,Não,13.55,6.3,55.5,25.0,12
372,Ação,PC,Sim,0.0,26.7,76.9,21.0,49
373,RPG,Mobile,Não,9.99,7.2,61.8,25.0,16
374,RPG,Mobile,Sim,0.0,20.5,76.3,24.0,43
375,Ação,Mobile,Não,27.66,10.8,,24.0,29
376,Ação,Console,Não,5.0,31.2,65.9,22.0,62
377,Indie,PC,Sim,0.0,51.4,81.3,16.0,113
378,RPG,PC,Não,36.32,0.4,50.2,26.0,6
379,RPG,Console,Não,21.28,8.1,58.2,19.0,24
380,Esporte,Console,Não,37.68,10.6,77.5,18.0,25
381,Estratégia,Console,Sim,0.0,13.7,80.8,23.0,34
382,Indie,Console,Não,11.21,13.1,70.4,30.0,33
383,Esporte,PC,Não,23.5,5.0,59.1,26.0,13
384,RPG,Console,Não,25.0,52.1,74.0,21.0,107
385,RPG,PC,Sim,0.0,13.5,65.1,21.0,33
386,Indie,PC,Não,51.23,22.3,61.3,29.0,43
387,Esporte,PC,Não,14.73,22.8,83.4,10.0,47
388,Indie,PC,Não,29.6,4.0,42.9,31.0,16
389,Ação,Mobile,Não,25.55,12.1,65.7,12.0,26
390,Indie,PC,Sim,0.0,26.7,63.2,15.0,64
391,Estratégia,PC,Sim,0.0,39.9,78.9,21.0,90
392,Ação,Console,Não,24.71,12.3,68.4,40.0,29
393,Estratégia,Console,Não,80.54,4.8,67.1,37.0,14
394,Esporte,PC,Sim,0.0,9.9,60.4,30.0,24
395,Ação,PC,Não,8.71,11.9,69.0,27.0,29
396,RPG,PC,Não,3.8,11.5,55.9,12.0,26
397,Indie,Console,Sim,0.0,7.6,61.8,26.0,16
398,Ação,PC,Sim,0.0,4.3,66.6,21.0,15
399,RPG,PC,Não,48.66,6.0,61.6,19.0,13
400,RPG,PC,Não,14.46,10.0,56.2,26.0,20
401,RPG,Console,Sim,0.0,26.4,68.3,22.0,53
402,Indie,PC,Não,40.76,33.5,84.2,31.0,78
403,Esporte,Mobile,Não,18.76,17.2,55.5,11.0,37
404,Ação,PC,Não,19.0,6.2,50.2,26.0,13
405,Indie,Console,Não,24.91,10.5,66.7,19.0,19
406,Indie,PC,Não,33.97,1.9,52.2,22.0,6
407,Ação,PC,Não,24.32,40.4,66.2,27.0,82
408,Indie,PC,Sim,0.0,9.2,72.7,17.0,30
409,Ação,Mobile,Não,18.59,21.0,57.7,26.0,52
410,Indie,Mobile,Sim,0.0,31.9,72.3,24.0,70
411,Esporte,PC,Não,80.33,47.9,78.2,20.0,95
412,Esporte,PC,Sim,0.0,28.4,69.4,22.0,45
413,Ação,Mobile,Não,17.44,11.5,53.9,24.0,31
414,Indie,Console,Sim,0.0,23.0,75.2,20.0,41
415,Ação,PC,Sim,0.0,46.8,84.1,25.0,114
416,Ação,PC,Sim,0.0,9.1,69.3,23.0,28
417,Ação,Console,Não,24.28,4.1,52.0,21.0,16
418,Esporte,Console,Não,23.95,7.7,78.8,36.0,17
419,Ação,Console,Sim,0.0,22.0,51.1,28.0,60
420,Indie,Mobile,Não,5.96,11.7,47.8,22.0,22
421,Esporte,Console,Não,75.83,14.8,79.7,26.0,39
422,Ação,PC,Não,22.46,24.6,74.0,18.0,44
423,Ação,Console,Não,34.76,7.5,62.6,22.0,21
424,Ação,PC,Não,10.73,14.3,67.5,23.0,31
425,Estratégia,PC,Sim,0.0,10.3,66.3,16.0,27
426,Indie,PC,Não,16.39,45.5,85.0,28.0,95
427,Ação,PC,Sim,0.0,27.8,63.0,21.0,46
428,Indie,Console,Não,17.26,11.8,69.4,23.0,33
429,Ação,PC,Não,38.66,11.3,67.7,21.0,23
430,Indie,PC,Não,16.61,49.0,97.3,46.0,103
431,Indie,Console,Não,18.7,46.4,98.7,20.0,102
432,Esporte,Console,Não,21.17,21.9,71.1,11.0,25
433,Esporte,Console,Não,53.0,15.3,53.1,14.0,33
434,Indie,Mobile,Sim,0.0,5.1,74.0,30.0,24
435,Ação,Console,Sim,0.0,7.7,50.5,34.0,21
436,Ação,PC,Não,7.63,4.7,60.9,20.0,17
437,Ação,Console,Não,12.78,32.8,72.4,34.0,66
438,Estratégia,Console,Não,15.08,5.2,54.2,30.0,11
439,Esporte,PC,Sim,0.0,11.1,68.5,24.0,29
440,Estratégia,PC,Não,15.79,2.4,58.6,23.0,12
441,Indie,PC,Sim,0.0,3.7,61.8,26.0,14
442,Ação,Console,Sim,0.0,25.4,62.9,31.0,76
443,Esporte,PC,Sim,0.0,19.5,65.1,28.0,44
444,Ação,PC,Não,31.25,15.8,,20.0,39
445,Ação,Mobile,Não,27.45,11.3,60.0,24.0,32
446,Esporte,Mobile,Não,13.44,3.2,55.9,39.0,14
447,Indie,PC,Não,9.76,10.1,77.7,27.0,28
